"doi","ReferencesId"
"10.1109/TVCG.2012.226","10.1109/TVCG.2009.122"
"10.1109/TVCG.2012.229","10.1109/TVCG.2009.122"
"10.1109/TVCG.2012.230","10.1109/TVCG.2009.111"
"10.1109/TVCG.2012.237","10.1109/TVCG.2007.70515"
"10.1109/TVCG.2012.237","10.1109/INFVIS.2002.1173157"
"10.1109/TVCG.2012.237","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2012.237","10.1109/TVCG.2008.153"
"10.1109/TVCG.2012.238","10.1109/INFVIS.2005.1532150"
"10.1109/TVCG.2012.238","10.1109/TVCG.2006.147"
"10.1109/TVCG.2012.238","10.1109/INFVIS.2004.66"
"10.1109/TVCG.2012.250","10.1109/INFVIS.1997.636718"
"10.1109/TVCG.2012.250","10.1109/TVCG.2006.147"
"10.1109/TVCG.2012.252","10.1109/VAST.2007.4389006"
"10.1109/TVCG.2012.252","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2012.253","10.1109/TVCG.2008.166"
"10.1109/TVCG.2012.253","10.1109/INFVIS.2000.885098"
"10.1109/TVCG.2012.253","10.1109/TVCG.2007.70535"
"10.1109/TVCG.2012.253","10.1109/INFVIS.1999.801851"
"10.1109/TVCG.2012.253","10.1109/INFVIS.2005.1532122"
"10.1109/TVCG.2012.253","10.1109/TVCG.2011.239"
"10.1109/TVCG.2012.255","10.1109/INFVIS.2004.12"
"10.1109/TVCG.2012.255","10.1109/TVCG.2007.70582"
"10.1109/TVCG.2012.255","10.1109/TVCG.2009.111"
"10.1109/TVCG.2012.255","10.1109/INFVIS.2005.1532126"
"10.1109/TVCG.2012.255","10.1109/TVCG.2012.213"
"10.1109/TVCG.2012.256","10.1109/INFVIS.2005.1532142"
"10.1109/TVCG.2012.256","10.1109/INFVIS.2000.885086"
"10.1109/TVCG.2012.256","10.1109/VISUAL.1994.346302"
"10.1109/TVCG.2012.256","10.1109/VISUAL.1999.809866"
"10.1109/TVCG.2012.256","10.1109/TVCG.2009.153"
"10.1109/TVCG.2012.263","10.1109/TVCG.2011.185"
"10.1109/TVCG.2012.263","10.1109/TVCG.2007.70577"
"10.1109/TVCG.2012.264","10.1109/INFVIS.1995.528686"
"10.1109/TVCG.2012.264","10.1109/VISUAL.2000.885694"
"10.1109/TVCG.2012.265","10.1109/INFVIS.2004.27"
"10.1109/TVCG.2012.271","10.1109/VISUAL.1995.485141"
"10.1109/TVCG.2012.272","10.1109/INFVIS.1997.636718"
"10.1109/TVCG.2012.272","10.1109/TVCG.2009.111"
"10.1109/TVCG.2012.272","10.1109/TVCG.2007.70539"
"10.1109/TVCG.2012.272","10.1109/INFVIS.2002.1173148"
"10.1109/TVCG.2012.272","10.1109/TVCG.2007.70541"
"10.1109/TVCG.2012.285","10.1109/TVCG.2008.137"
